[2025-11-02 17:22:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-02T16:22:37.683000+00:00', 'pinned': False, 'nonce': '1434578470779748352', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-31T14:21:21.179000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1434578458490703943', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hey was geht', 'components': [], 'channel_type': 0, 'channel_id': '1433823163090735320', 'author': {'username': 'alessandro16a', 'public_flags': 0, 'primary_guild': None, 'id': '456090807678664714', 'global_name': 'Alessandro Argenziano', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'd811161cdb0ce5229cc9796bb042df86'}, 'attachments': [], 'guild_id': '1433823162512183454'}}
[2025-11-02 17:22:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-02 17:22:40] [DEBUG   ] discord.client: Dispatching event message
[2025-11-02 17:22:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '456090807678664714', 'timestamp': 1762100564, 'member': {'user': {'username': 'alessandro16a', 'public_flags': 0, 'primary_guild': None, 'id': '456090807678664714', 'global_name': 'Alessandro Argenziano', 'display_name_styles': None, 'display_name': 'Alessandro Argenziano', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd811161cdb0ce5229cc9796bb042df86'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-31T14:21:21.179000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1433823163090735320', 'guild_id': '1433823162512183454'}}
[2025-11-02 17:22:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-02 17:22:47] [DEBUG   ] discord.client: Dispatching event typing
[2025-11-02 17:22:47] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-11-02 17:22:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-02T16:22:48.502000+00:00', 'pinned': False, 'nonce': '1434578515780435968', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-31T14:21:21.179000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1434578503868879031', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'was ist diesr test?', 'components': [], 'channel_type': 0, 'channel_id': '1433823163090735320', 'author': {'username': 'alessandro16a', 'public_flags': 0, 'primary_guild': None, 'id': '456090807678664714', 'global_name': 'Alessandro Argenziano', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'd811161cdb0ce5229cc9796bb042df86'}, 'attachments': [], 'guild_id': '1433823162512183454'}}
[2025-11-02 17:22:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-02 17:22:51] [DEBUG   ] discord.client: Dispatching event message
[2025-11-02 17:22:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 7, 'op': 0, 'd': {'id': '1434578503868879031', 'channel_id': '1433823163090735320', 'guild_id': '1433823162512183454'}}
[2025-11-02 17:22:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-02 17:22:51] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-11-02 17:22:51] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-11-02 17:22:51] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1433823163090735320/messages/1434578503868879031 with None has returned 204
[2025-11-02 17:22:51] [DEBUG   ] discord.http: DELETE /channels/{channel_id}/messages/{message_id}:sub-10-seconds has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-11-02 17:22:51] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1433823163090735320/messages/1434578503868879031 has received 
[2025-11-02 17:22:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-02T16:22:49.257000+00:00', 'pinned': False, 'nonce': '6945265038276490507', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433823903720935489'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-31T14:24:17.897000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1434578507035312299', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hey, dieser begriff ist nur fur alessandro16a geeignet!', 'components': [], 'channel_type': 0, 'channel_id': '1433823163090735320', 'author': {'username': 'Cool guy', 'public_flags': 0, 'primary_guild': None, 'id': '1433821422001848421', 'global_name': None, 'display_name_styles': None, 'discriminator': '6194', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1433823162512183454'}}
[2025-11-02 17:22:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-02 17:22:52] [DEBUG   ] discord.client: Dispatching event message
[2025-11-02 17:22:52] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1433823163090735320/messages with {"content":"Hey, dieser begriff ist nur fur alessandro16a geeignet!","components":[],"nonce":"6945265038276490507","enforce_nonce":true,"tts":false} has returned 200
[2025-11-02 17:22:52] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-11-02 17:22:52] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1433823163090735320/messages has received {'type': 0, 'content': 'Hey, dieser begriff ist nur fur alessandro16a geeignet!', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-11-02T16:22:49.257000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1434578507035312299', 'channel_id': '1433823163090735320', 'author': {'id': '1433821422001848421', 'username': 'Cool guy', 'avatar': None, 'discriminator': '6194', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6945265038276490507'}
[2025-11-02 17:22:57] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-11-02 17:22:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
